"Espace";"Sous-partie";"Fonctionnalité utilisateur";"Technique informatique";"Difficulté WP (0-10/Z)";"Export Lovable→WP";"Extensions WP nécessaires";"Difficulté duplication site enfant (0-10)"
"Footer";"Mobile";"Version épurée (moins de sections)";"CSS Media Queries + conditional render";"3";"Oui";"Responsive theme";"1"
"";"TOTAL FOOTER";"";"";"";"";""
"";"";"";"Somme difficultés";"15";"";"";"1"
"=== PAGE ACCUEIL (Index) ===";"";"";"";"";"";""
"Index";"Hero section";"Titre animé principal";"Framer Motion animations";"5";"Non";"GSAP ou Animate.css";"3"
"Index";"Hero section";"Image de fond artistique";"CSS background-image";"1";"Oui";"Natif";"0"
"Index";"Hero section";"Boutons CTA (Estimation, Découvrir)";"Button components + links";"2";"Oui";"Natif";"0"
"Index";"Carrousel ventes";"Slider des prochaines ventes";"Embla Carousel React";"5";"Non";"Slider Revolution ou Swiper";"3"
"Index";"Carrousel ventes";"Navigation flèches + dots";"Carousel controls";"Inclus carrousel";"Non";"Inclus slider";"1"
"Index";"Carrousel ventes";"Cartes ventes cliquables → détail";"SaleCard component + Router";"4";"Non";"Custom post type + ACF";"3"
"Index";"Planning inline";"Timeline 7 jours (3 mobile)";"Custom TimelineCalendar component";"8";"Non";"Custom dev complet";"6"
"Index";"Planning inline";"Événements colorés par type";"CSS + data mapping";"Inclus Timeline";"Non";"Inclus";"2"
"Index";"Planning inline";"Swipe navigation mobile";"Touch events + Framer Motion";"Inclus Timeline";"Non";"Touch slider plugin";"3"
"Index";"Section Spécialités";"Grid 8 cartes avec images";"CSS Grid + Image components";"3";"Oui";"Elementor ou Gutenberg";"1"
"Index";"Section Spécialités";"Hover effects sur cartes";"CSS :hover + transitions";"2";"Oui";"Custom CSS";"1"
"Index";"Section Notre maison";"Texte + image + lien";"HTML/CSS layout";"2";"Oui";"Gutenberg bloc";"0"
"Index";"Témoignages";"Carrousel témoignages clients";"TestimonialsCarousel component";"4";"Non";"Testimonials plugin";"2"
"Index";"SEO";"Meta tags, title, description";"React Helmet";"2";"Oui";"Yoast SEO";"0"
"";"TOTAL INDEX";"";"";"";"";""
"";"";"";"Somme difficultés";"38";"";"";"25"
"=== PAGE VENTES À VENIR ===";"";"";"";"";"";""
"Ventes à venir";"Liste ventes";"Affichage toutes ventes futures";"Supabase query + mapping";"5";"Non";"Custom post type + query";"3"
"Ventes à venir";"Liste ventes";"Filtrage par spécialité (optionnel)";"Query params + filter";"4";"Non";"FacetWP ou custom";"3"
"Ventes à venir";"Carte vente";"Image, titre, date, nb lots";"SaleCard component";"3";"Non";"ACF + custom template";"2"
"Ventes à venir";"Carte vente";"Lien vers détail vente";"React Router";"2";"Oui";"Permalink natif";"0"
"Ventes à venir";"Timeline intégrée";"Planning horizontal des ventes";"TimelineLayout component";"Voir Index";"Non";"Voir Index";"2"
"Ventes à venir";"Loading state";"Skeleton pendant chargement";"Skeleton UI component";"3";"Non";"Custom CSS";"2"
"";"TOTAL VENTES À VENIR";"";"";"";"";""
"";"";"";"Somme difficultés";"17";"";"";"12"
"=== PAGE VENTES PASSÉES ===";"";"";"";"";"";""
"Ventes passées";"Archives";"Liste ventes passées groupées par année";"Supabase query + groupBy";"5";"Non";"Archive custom + query";"3"
"Ventes passées";"Archives";"Tri chronologique descendant";"SQL ORDER BY";"Inclus query";"Non";"Inclus";"0"
"Ventes passées";"Vue par catégorie IA";"Navigation par familles d'objets classifiées IA (voitures sport, mobilier XVIIe, etc.)";"Edge function classify-lot + query";"8";"Non";"Impossible WP standard";"Z"
"Ventes passées";"Classification IA lots";"Catégorisation automatique par familles précises depuis titres/descriptions/images";"Edge function + Gemini AI";"Z";"Non";"Impossible";"Z"
"Ventes passées";"Filtres catégories";"Sélection famille d'objets pour voir résultats filtrés";"React filter + query";"5";"Non";"FacetWP Pro";"3"
"Ventes passées";"Belles enchères";"Carrousel résultats remarquables";"Static data + Carousel";"4";"Non";"Carousel plugin";"2"
"Ventes passées";"Carte vente";"Lien vers détail vente passée";"React Router";"2";"Oui";"Permalink";"0"
"";"TOTAL VENTES PASSÉES";"";"";"";"";""
"";"";"";"Somme difficultés";"24 + Z";"";"";"6 + Z"
"=== PAGE AFTER SALE ===";"";"";"";"";"";""
"After Sale";"Lots disponibles";"Query lots is_after_sale=true";"Supabase query + filter";"5";"Non";"Custom meta query";"3"
"After Sale";"Lots disponibles";"Filtrage date fin > today";"SQL WHERE clause";"Inclus query";"Non";"Inclus";"1"
"After Sale";"Carte lot";"Image, titre, prix fixe, date limite";"LotCard variant";"4";"Non";"WooCommerce product";"3"
"After Sale";"Carte lot";"Lien vers détail lot after-sale";"React Router";"2";"Oui";"Permalink";"0"
"After Sale";"Bannière explicative";"Texte expliquant le concept";"Static HTML/CSS";"1";"Oui";"Gutenberg";"0"
"";"TOTAL AFTER SALE";"";"";"";"";""
"";"";"";"Somme difficultés";"12";"";"";"7"
"=== PAGE GUIDE ACHETEUR ===";"";"";"";"";"";""
"Guide Acheteur";"Contenu";"Texte éditorial structuré (H2, H3)";"HTML sémantique";"2";"Oui";"Gutenberg";"0"
"Guide Acheteur";"Contenu";"Images illustrations";"Image components";"1";"Oui";"Natif";"0"
"Guide Acheteur";"Accordéon FAQ";"Sections pliables Q&A";"Accordion component (Radix)";"3";"Non";"Accordion plugin";"1"
"Guide Acheteur";"Glossaire";"Définitions termes enchères";"GlossaireAccordion component";"3";"Non";"Glossary plugin ou custom";"2"
"Guide Acheteur";"Liens documents";"PDFs règles (enchérir, payer, retirer)";"External file links";"1";"Oui";"Media library";"0"
"Guide Acheteur";"CTA";"Boutons vers inscription, calendrier";"Button links";"2";"Oui";"Natif";"0"
"";"TOTAL GUIDE ACHETEUR";"";"";"";"";""
"";"";"";"Somme difficultés";"12";"";"";"3"
"=== PAGE GUIDE VENDEUR ===";"";"";"";"";"";""
"Guide Vendeur";"Étapes vente";"4 étapes illustrées (Estimation→Paiement)";"Cards layout";"3";"Oui";"Gutenberg ou Elementor";"1"
"Guide Vendeur";"Contenu";"Texte éditorial (mandat, frais, etc.)";"HTML sémantique";"2";"Oui";"Gutenberg";"0"
"Guide Vendeur";"Infographies";"Cartes 2x2 informations clés";"CSS Grid + Cards";"3";"Oui";"Elementor";"1"
"Guide Vendeur";"CTA";"Liens vers estimation, inventaire";"Button links";"2";"Oui";"Natif";"0"
"";"TOTAL GUIDE VENDEUR";"";"";"";"";""
"";"";"";"Somme difficultés";"10";"";"";"2"
"=== PAGE ESTIMATION EN LIGNE ===";"";"";"";"";"";""
"Estimation";"Formulaire";"Champs: nom, email, téléphone, description";"React Hook Form + validation";"4";"Non";"Contact Form 7 ou WPForms";"2"
"Estimation";"Formulaire";"Upload photos (max 5)";"File input + preview";"5";"Non";"CF7 + upload addon";"3"
"Estimation";"Formulaire";"Envoi email avec pièces jointes";"Edge function + SMTP";"6";"Non";"WP Mail SMTP";"4"
"Estimation";"Villes itinérantes";"Grille carrés villes (survol couleur)";"CSS Grid + hover effects";"3";"Oui";"Custom CSS";"1"
"Estimation";"Villes itinérantes";"Affichage prochaine date par ville";"useNextExpertiseByCity hook";"5";"Non";"Custom query + ACF";"3"
"Estimation";"Spécialités";"Liste des catégories acceptées";"Static list";"1";"Oui";"Gutenberg";"0"
"";"TOTAL ESTIMATION";"";"";"";"";""
"";"";"";"Somme difficultés";"24";"";"";"13"
"=== PAGE INVENTAIRE DOMICILE ===";"";"";"";"";"";""
"Inventaire";"Présentation";"Texte service inventaire succession";"HTML/CSS";"2";"Oui";"Gutenberg";"0"
"Inventaire";"Illustration";"Image commissaire-priseur";"Image component";"1";"Oui";"Natif";"0"
"Inventaire";"Planning intégré";"Timeline expertise (manuel)";"TimelineCalendar embedded";"Voir Index";"Non";"Voir Index";"2"
"Inventaire";"CTA";"Lien contact pour RDV";"mailto: link";"1";"Oui";"Natif";"0"
"";"TOTAL INVENTAIRE";"";"";"";"";""
"";"";"";"Somme difficultés";"4";"";"";"2"
"=== PAGE JOURNÉES ESTIMATION ===";"";"";"";"";"";""
"Journées";"Liste événements";"Query svv_events type=expertise";"Supabase query";"5";"Non";"Events Calendar Pro";"3"
"Journées";"Liste événements";"Groupement par mois";"JavaScript groupBy + format";"3";"Non";"Inclus Events Calendar";"1"
"Journées";"Carte événement";"Date, lieu, horaires, spécialité";"Event card component";"3";"Non";"Events Calendar template";"2"
"Journées";"État vide";"Message si aucun événement";"Conditional render";"1";"Oui";"Custom template";"0"
"";"TOTAL JOURNÉES";"";"";"";"";""
"";"";"";"Somme difficultés";"12";"";"";"6"
"=== PAGE LA MAISON ===";"";"";"";"";"";""
"La Maison";"Hero";"Photo équipe + titre";"Hero section";"2";"Oui";"Gutenberg";"0"
"La Maison";"Histoire";"Texte narratif maison de ventes";"HTML/CSS";"2";"Oui";"Gutenberg";"0"
"La Maison";"Portrait commissaire";"Photo + bio Maître Marcaggi";"Two-column layout";"2";"Oui";"Gutenberg";"0"
"La Maison";"Chiffres clés";"Stats (nb ventes, années, etc.)";"Static cards";"2";"Oui";"Counter plugin";"1"
"La Maison";"CTA";"Lien vers contact";"Button link";"1";"Oui";"Natif";"0"
"";"TOTAL LA MAISON";"";"";"";"";""
"";"";"";"Somme difficultés";"9";"";"";"1"
"=== PAGE AVENTURES ENCHÈRES ===";"";"";"";"";"";""
"Aventures";"Liste histoires";"8 anecdotes avec images";"Static array + mapping";"3";"Oui";"Custom post type ou Gutenberg";"1"
"Aventures";"Carte histoire";"Image, catégorie, date, description";"Article card component";"3";"Non";"Custom template";"2"
"Aventures";"Layout alterné";"Image gauche/droite alternée";"CSS flex + :nth-child";"2";"Oui";"Custom CSS";"1"
"Aventures";"Citation";"Block quote stylisé";"HTML blockquote + CSS";"1";"Oui";"Gutenberg Quote";"0"
"";"TOTAL AVENTURES";"";"";"";"";""
"";"";"";"Somme difficultés";"9";"";"";"4"
"=== PAGE COUPS DE CŒUR (Région Talents) ===";"";"";"";"";"";""
"Région Talents";"Liste talents";"5-6 commerces/artisans locaux";"Static array + mapping";"3";"Oui";"Custom post type";"1"
"Région Talents";"Fiche talent";"Photo, nom, catégorie, description, contact";"Card component";"3";"Non";"ACF + template";"2"
"Région Talents";"Liens externes";"Site web, téléphone";"External links";"1";"Oui";"Natif";"0"
"Région Talents";"CTA";"Suggérer un coup de cœur (mailto)";"mailto: link";"1";"Oui";"Natif";"0"
"";"TOTAL RÉGION TALENTS";"";"";"";"";""
"";"";"";"Somme difficultés";"8";"";"";"3"
"=== PAGE CONTACT ===";"";"";"";"";"";""
"Contact";"Informations";"Adresse, téléphone, email, horaires";"Static content";"1";"Oui";"Gutenberg";"0"
"Contact";"Carte";"Google Maps intégré";"Iframe Google Maps";"2";"Oui";"Maps plugin";"1"
"Contact";"Formulaire";"Nom, email, message";"Form component";"4";"Non";"Contact Form 7";"1"
"Contact";"Envoi email";"Email au destinataire";"Edge function ou mailto";"Voir Estimation";"Non";"WP Mail";"1"
"";"TOTAL CONTACT";"";"";"";"";""
"";"";"";"Somme difficultés";"7";"";"";"3"
"=== PAGE CALENDRIER ===";"";"";"";"";"";""
"Calendrier";"Vue mensuelle";"Calendrier interactif";"Custom calendar component";"7";"Non";"Events Calendar Pro";"4"
"Calendrier";"Événements colorés";"Types distincts (vente, expertise, expo)";"CSS colors + data mapping";"4";"Non";"Inclus Events Calendar";"2"
"Calendrier";"Clic événement";"Popup détail ou navigation";"Dialog component";"5";"Non";"Events Calendar modal";"2"
"Calendrier";"Légende";"Explication couleurs";"Static HTML/CSS";"2";"Oui";"Custom template";"0"
"";"TOTAL CALENDRIER";"";"";"";"";""
"";"";"";"Somme difficultés";"18";"";"";"8"
"=== PAGES SPÉCIALITÉS (x8) ===";"";"";"";"";"";""
"Spécialité";"Template commun";"SpecialtyPageTemplate réutilisable";"React component";"6";"Non";"ACF + Page Builder";"4"
"Spécialité";"Hero";"Titre, mention affective, image";"Hero section";"3";"Non";"Inclus template";"1"
"Spécialité";"Carrousel belles enchères";"8 résultats remarquables";"Carousel component";"4";"Non";"Slider plugin";"2"
"Spécialité";"Contenu expert";"Texte expertise détaillée";"Rich text";"2";"Oui";"ACF WYSIWYG";"0"
"Spécialité";"Fiche expert";"Photo + bio expert spécialité";"Card component";"3";"Non";"ACF repeater";"2"
"Spécialité";"Saviez-vous";"FAQ spécifique spécialité";"Accordion component";"3";"Non";"FAQ plugin";"1"
"Spécialité";"Ventes à venir";"Cartes prochaines ventes filtrées";"Query + SaleCard";"5";"Non";"Custom query";"3"
"Spécialité";"Ventes passées";"Liens archives par spécialité";"Static links";"2";"Oui";"Natif";"0"
"Spécialité";"Navigation inter-spécialités";"Liens vers autres spécialités";"Navigation component";"3";"Non";"Menu custom";"1"
"";"× 8 spécialités";"Bijoux, Vins, Voitures, Art Moderne, Mobilier, Collections, Céramiques, Militaria";"";"";"";""
"";"TOTAL SPÉCIALITÉS (×8)";"";"";"";"";""
"";"";"";"Somme par spécialité";"31";"";"";"14"
"";"";"";"Somme 8 spécialités";"248";"";"";"112"
"=== PAGE DÉTAIL VENTE ===";"";"";"";"";"";""
"Détail vente";"Header sticky";"Titre vente, boutons navigation";"SaleStickyHeader component";"5";"Non";"Custom fixed header";"3"
"Détail vente";"Informations";"Date, heure, lieu, nb lots, frais";"Data display";"3";"Non";"ACF fields";"2"
"Détail vente";"Image couverture";"Photo principale vente";"Image component";"2";"Oui";"Featured image";"0"
"Détail vente";"Expositions";"Dates et horaires exposition";"Query interencheres_expositions";"4";"Non";"Custom meta";"2"
"Détail vente";"Catalogue iframe";"Intégration catalogue Interenchères";"Iframe component";"3";"Oui";"Iframe embed";"1"
"Détail vente";"Grille lots native";"LotsGrid si lots importés";"Query + Grid component";"6";"Non";"WooCommerce products grid";"4"
"Détail vente";"Lien externe";"Bouton vers Interenchères";"External link";"1";"Oui";"Natif";"0"
"Détail vente";"Contact vente";"Email/téléphone commissaire";"Contact info display";"2";"Oui";"ACF";"0"
"";"TOTAL DÉTAIL VENTE";"";"";"";"";""
"";"";"";"Somme difficultés";"26";"";"";"12"
"=== PAGE DÉTAIL LOT ===";"";"";"";"";"";""
"Détail lot";"Image principale";"Viewer zoom/navigation";"ImageViewer component";"6";"Non";"Lightbox plugin";"3"
"Détail lot";"Galerie images";"Thumbnails cliquables";"Gallery component";"4";"Non";"Gallery plugin";"2"
"Détail lot";"Infos lot";"Titre, n°, estimation, description";"Data display";"3";"Non";"ACF";"1"
"Détail lot";"Prix adjudication";"Si vendu, affichage résultat";"Conditional display";"2";"Oui";"Conditional logic";"1"
"Détail lot";"Bouton Rapport condition";"Lien mailto pré-rempli";"mailto: link";"2";"Oui";"Natif";"0"
"Détail lot";"Bouton Analyse IA";"Appel edge function + dialog";"LotAIAnalysis + Supabase function";"8";"Non";"Custom dev + API";"Z"
"Détail lot";"Bouton Laisser ordre";"Formulaire ordre achat (auth required)";"Form + Supabase insert";"7";"Non";"Gravity Forms + custom";"5"
"Détail lot";"Bouton Enchérir téléphone";"Formulaire enchère tel (auth required)";"Form + Supabase insert";"Voir Laisser ordre";"Non";"Gravity Forms + custom";"3"
"Détail lot";"Bouton Vendre similaire";"mailto pré-rempli avec détails";"mailto: link";"2";"Oui";"Natif";"0"
"Détail lot";"Bouton Mémoriser";"Toggle favori (auth required)";"Supabase upsert/delete";"5";"Non";"Wishlist plugin";"3"
"Détail lot";"Icône cœur état";"Visuel doré si mémorisé";"React state + query";"Inclus Mémoriser";"Non";"Inclus";"1"
"Détail lot";"Bouton Interenchères";"Lien inscription externe";"External link";"1";"Oui";"Natif";"0"
"Détail lot";"Accordéon infos vente";"Détails vente pliables";"SaleInfoAccordion";"3";"Non";"Accordion";"1"
"Détail lot";"Navigation mobile";"Barre sticky prev/current/next";"Mobile nav component";"4";"Non";"Custom mobile nav";"3"
"";"TOTAL DÉTAIL LOT";"";"";"";"";""
"";"";"";"Somme difficultés";"47";"";"";"23"
"=== PAGE DÉTAIL LOT AFTER-SALE ===";"";"";"";"";"";""
"Lot After-Sale";"Héritage Détail lot";"Mêmes éléments que détail lot";"Voir Détail lot";"Voir Détail lot";"Non";"Voir Détail lot";"Voir Détail lot"
"Lot After-Sale";"Prix fixe";"Affichage after_sale_price";"Data display";"2";"Oui";"ACF";"0"
"Lot After-Sale";"Date limite";"Countdown ou date fin";"ChronoCountdown component";"4";"Non";"Countdown plugin";"2"
"Lot After-Sale";"Bouton achat";"CTA achat immédiat";"Button + redirect/modal";"5";"Non";"WooCommerce Buy Now";"2"
"";"TOTAL LOT AFTER-SALE (différentiel)";"";"";"";"";""
"";"";"";"Somme différentiel";"11";"";"";"4"
"=== PLANNING (Composant flottant) ===";"";"";"";"";"";""
"Planning";"Bouton flottant";"Carré fixe bord droit écran";"FloatingPlanningButton";"4";"Non";"Custom fixed button";"2"
"Planning";"Bouton flottant";"Animation slide-in (Framer)";"Framer Motion";"3";"Non";"GSAP ou CSS";"2"
"Planning";"Bouton flottant";"Masqué sur pages /compte";"Conditional render by route";"2";"Non";"Custom JS";"1"
"Planning";"Panel";"Overlay timeline étendue";"PlanningPanel component";"5";"Non";"Custom modal";"3"
"Planning";"Timeline";"Affichage 7j (3 mobile)";"TimelineCalendar";"8";"Non";"Custom calendar";"6"
"Planning";"Events multitypes";"Ventes, expertises, expositions";"Multi-source query";"6";"Non";"Events aggregation";"4"
"Planning";"Couleurs événements";"Code couleur par type";"CSS + data mapping";"3";"Non";"Custom CSS";"1"
"Planning";"Clic événement";"Dialog détail ou navigation";"EventDetailDialog";"5";"Non";"Modal plugin";"3"
"Planning";"Export calendrier";"Téléchargement .ics";"calendar-utils + Blob";"5";"Non";"ICS generator plugin";"3"
"Planning";"Swipe mobile";"Navigation tactile gauche/droite";"Touch events";"4";"Non";"Swiper.js";"2"
"Planning";"Indicateur temps réel";"Ligne verticale position actuelle";"JavaScript + CSS";"4";"Non";"Custom JS";"2"
"";"TOTAL PLANNING";"";"";"";"";""
"";"";"";"Somme difficultés";"49";"";"";"29"
"=== ESPACE COMPTE - ACCUEIL ===";"";"";"";"";"";""
"Compte Accueil";"Dashboard";"Vue d'ensemble actions utilisateur";"CompteAccueil component";"5";"Non";"User dashboard plugin";"3"
"Compte Accueil";"Cards navigation";"Grille liens vers sous-sections";"NavCard components";"4";"Non";"Custom cards";"2"
"Compte Accueil";"Badges compteurs";"Nombre ordres, alertes, etc.";"useUserActionCounts hook";"5";"Non";"Custom query";"3"
"Compte Accueil";"État profil";"Indicateurs complétion profil";"Supabase query profiles";"4";"Non";"Profile completion plugin";"2"
"";"TOTAL COMPTE ACCUEIL";"";"";"";"";""
"";"";"";"Somme difficultés";"18";"";"";"10"
"=== COMPTE - SIDEBAR ===";"";"";"";"";"";""
"Sidebar Compte";"Navigation";"Menu vertical sections compte";"CompteSidebar component";"4";"Non";"Custom sidebar";"2"
"Sidebar Compte";"Sections pliables";"Découvrir, Mes achats, Profil";"Collapsible sections";"3";"Non";"Accordion menu";"1"
"Sidebar Compte";"Badges";"Compteurs sur items menu";"React state + query";"4";"Non";"Custom badges";"2"
"Sidebar Compte";"Indicateurs statut";"Points vert/orange profil";"Conditional CSS";"2";"Oui";"Custom CSS";"1"
"Sidebar Compte";"Bouton déconnexion";"Sign out Supabase";"supabase.auth.signOut()";"3";"Non";"WP logout";"1"
"";"TOTAL SIDEBAR COMPTE";"";"";"";"";""
"";"";"";"Somme difficultés";"16";"";"";"7"
"=== COMPTE - NEWSLETTER ===";"";"";"";"";"";""
"Newsletter";"Toggle inscription";"Switch activer/désactiver";"Switch + Supabase update";"4";"Non";"Mailchimp integration";"2"
"Newsletter";"Centres d'intérêts";"Checkboxes spécialités";"Checkbox group + upsert";"4";"Non";"Custom preferences";"2"
"Newsletter";"Sauvegarde";"Bouton enregistrer préférences";"Supabase upsert";"3";"Non";"Form submit";"1"
"";"TOTAL NEWSLETTER";"";"";"";"";""
"";"";"";"Somme difficultés";"11";"";"";"5"
"=== COMPTE - ALERTES ===";"";"";"";"";"";""
"Mes Alertes";"Liste alertes";"Affichage mots-clés actifs";"Query user_alerts";"4";"Non";"Custom alerts system";"3"
"Mes Alertes";"Ajout alerte";"Input + validation IA keyword";"Form + edge function validate-alert-keyword";"7";"Non";"Custom dev + AI API";"Z"
"Mes Alertes";"Toggle actif";"Activer/désactiver alerte";"Supabase update";"3";"Non";"Custom toggle";"1"
"Mes Alertes";"Suppression";"Bouton supprimer alerte";"Supabase delete";"2";"Oui";"Delete button";"0"
"Mes Alertes";"Lots correspondants";"Preview lots matchant alertes";"Query + synthesize-alerts function";"8";"Non";"Custom matching engine";"Z"
"Mes Alertes";"Badge non vus";"Compteur nouveaux lots alertes";"alert_lot_views table";"5";"Non";"Custom notification";"4"
"";"TOTAL ALERTES";"";"";"";"";""
"";"";"";"Somme difficultés";"29";"";"";"Z"
"=== COMPTE - MES LIKE ===";"";"";"";"";"";""
"Mes Like";"Profils goûts";"Liste taste_profiles";"Query + TasteCloud";"5";"Non";"Custom profile system";"4"
"Mes Like";"Nuage tags";"Visualisation préférences";"TasteCloud component";"5";"Non";"Tag cloud plugin";"3"
"Mes Like";"Suggestions Lia";"Lots recommandés par IA";"Query lia_suggestions";"7";"Non";"Recommendation engine";"Z"
"Mes Like";"Validation suggestion";"Like/dislike lot suggéré";"Supabase update";"4";"Non";"Custom voting";"2"
"Mes Like";"Créer profil";"Lancer dialogue Lia";"Navigation vers interview";"2";"Oui";"Link";"0"
"";"TOTAL MES LIKE";"";"";"";"";""
"";"";"";"Somme difficultés";"23";"";"";"Z"
"=== COMPTE - DIALOGUE LIA ===";"";"";"";"";"";""
"Dialogue Lia";"Interface chat";"Conversation IA temps réel";"Chat component";"7";"Non";"Custom chat interface";"5"
"Dialogue Lia";"Appel IA";"Edge function taste-interview";"Supabase function + streaming";"9";"Non";"OpenAI API integration";"Z"
"Dialogue Lia";"Reconnaissance vocale";"Speech-to-text navigateur";"useSpeechRecognition hook";"6";"Non";"Web Speech API";"4"
"Dialogue Lia";"Propositions visuelles";"Images lots suggérés dans chat";"InteractiveList + search-example-images";"8";"Non";"Custom image search";"Z"
"Dialogue Lia";"Sauvegarde profil";"Update taste_profiles";"Supabase upsert";"4";"Non";"Profile save";"2"
"Dialogue Lia";"Progression onboarding";"Barre progression visuelle";"OnboardingProgress component";"3";"Non";"Progress bar";"1"
"Dialogue Lia";"Historique conversation";"Stockage échanges";"JSONB conversation_history";"4";"Non";"Chat history storage";"2"
"";"TOTAL DIALOGUE LIA";"";"";"";"";""
"";"";"";"Somme difficultés";"41";"";"";"Z"
"=== COMPTE - FAVORIS (Mémorisés) ===";"";"";"";"";"";""
"Favoris";"Liste lots";"Query memorized_lots + lot details";"Join query";"5";"Non";"Wishlist plugin";"3"
"Favoris";"Carte lot";"Mini affichage lot mémorisé";"LotCard variant";"3";"Non";"Custom card";"2"
"Favoris";"Retirer favori";"Bouton supprimer mémorisation";"Supabase delete";"2";"Oui";"Wishlist remove";"1"
"Favoris";"Lien détail";"Navigation vers fiche lot";"React Router";"2";"Oui";"Permalink";"0"
"";"TOTAL FAVORIS";"";"";"";"";""
"";"";"";"Somme difficultés";"12";"";"";"6"
"=== COMPTE - MES ORDRES ===";"";"";"";"";"";""
"Mes Ordres";"Liste ordres";"Query purchase_orders + lot";"Join query";"5";"Non";"Custom orders table";"3"
"Mes Ordres";"Détail ordre";"Lot, montant max, statut";"Data display";"3";"Non";"ACF";"1"
"Mes Ordres";"Modifier ordre";"Update montant maximum";"Form + Supabase update";"4";"Non";"Edit form";"2"
"Mes Ordres";"Annuler ordre";"Delete purchase_order";"Supabase delete";"3";"Non";"Delete action";"1"
"Mes Ordres";"Statut confirmation";"Badge confirmé/en attente";"Conditional display";"2";"Oui";"Status badge";"1"
"";"TOTAL MES ORDRES";"";"";"";"";""
"";"";"";"Somme difficultés";"17";"";"";"8"
"=== COMPTE - ENCHÈRES TÉLÉPHONE ===";"";"";"";"";"";""
"Enchères Tél";"Liste demandes";"Query phone_bid_requests + lot";"Join query";"5";"Non";"Custom table";"3"
"Enchères Tél";"Détail demande";"Lot, téléphone, statut";"Data display";"3";"Non";"ACF";"1"
"Enchères Tél";"Annuler demande";"Delete phone_bid_request";"Supabase delete";"3";"Non";"Delete action";"1"
"";"TOTAL ENCHÈRES TÉL";"";"";"";"";""
"";"";"";"Somme difficultés";"11";"";"";"5"
"=== COMPTE - MES ADJUDICATIONS ===";"";"";"";"";"";""
"Adjudications";"Liste achats gagnés";"Query lots où winner_user_id = user";"Supabase query";"5";"Non";"Custom query";"3"
