Section,Fonctionnalité,Description,Bénéfice,Auto Sync,Auto IA,SEO Natif,SEO 6M,Manuel,Type
Services Vendeurs,Estimation en ligne,Formulaire upload photos description dimensions,Contact facile,—,—,✅,—,—,Vendeur
Services Vendeurs,Journées d'expertise,Calendrier permanences journées spéciales région,Visibilité RDV,—,—,✅,✅,✅,Vendeur
Services Vendeurs,Expertises itinérantes,Villes avec dates carrés hover couleur,Proximité,—,—,✅,✅,✅,Vendeur
Services Vendeurs,Inventaire à domicile,Page succession partage déménagement formulaire,Service complet,—,—,✅,✅,—,Vendeur
Services Vendeurs,Vendre objet similaire,Bouton fiche lot mailto pré-rempli référence,Incitation naturelle,—,—,—,—,—,Vendeur
Services Vendeurs,Historique prix par catégorie IA,Consultation résultats par famille objets classifiée,Évaluation marché,✅,✅,✅,—,—,IA Exclusive
Calendrier,Vue calendrier unifié,Affichage ventes expositions expertises code couleur,Vision claire,✅,—,✅,—,✅,Gestion
Calendrier,Filtres par type,Sélection ventes live chrono expositions expertises,Focus,—,—,—,—,—,Gestion
Calendrier,Détail événement,Dialog avec infos complètes et liens,Information,✅,—,—,—,—,Gestion
Espace Client,Authentification,Login inscription reset password session,Sécurité,—,—,—,—,—,Compte
Espace Client,Tableau de bord,Vue d'ensemble alertes lots ordres adjudications,Vision globale,✅,—,—,—,—,Compte
Espace Client,Barre de progression,Indicateur complétude profil gamification,Engagement,—,—,—,—,—,Compte
Espace Client,Gestion des alertes,Alertes mots-clés validation IA activation/désactivation,Ne rien rater,✅,✅,—,—,—,Compte
Espace Client,Ce que j'aime dialogue Lia,Conversation IA pour cerner préférences goûts,Relation unique,—,✅,—,—,—,IA Exclusive
Espace Client,Centres d'intérêts,Sélection spécialités newsletter personnalisée,Pertinence,—,—,—,—,—,Compte
Espace Client,Liste des favoris,Lots mémorisés triés par vente dates statuts,Organisation,✅,—,—,—,—,Compte
Espace Client,Suggestions Lia,Grille lots suggérés par IA avec validation,Découverte,✅,✅,—,—,—,IA Exclusive
Espace Client,Historique ordres,Liste ordres déposés lot montant max statut,Suivi,—,—,—,—,—,Compte
Espace Client,Historique enchères tél.,Demandes enchères téléphoniques confirmation résultat,Traçabilité,—,—,—,—,—,Compte
Espace Client,Mes adjudications,Lots remportés prix frais statut paiement enlèvement,Gestion achats,✅,—,—,—,—,Compte
Espace Client,Régler mes achats,Interface paiement bordereaux calcul auto totaux,Paiement facile,—,—,—,—,—,Compte
Espace Client,Programmer enlèvement,Prise RDV récupérer lots payés créneaux,Autonomie,—,—,—,—,✅,Compte
Espace Client,Profil 6 étapes,Identité téléphone adresse ID banque sécurité,Complétude,—,—,—,—,—,Compte
Espace Client,Documents KYC,Upload pièce identité validation RIB statut,Conformité,—,—,—,—,✅,Compte
Espace Client,Vie privée RGPD,Consentements préférences droit à l'oubli,Contrôle données,—,—,—,—,—,Compte
Espace Client,Newsletter personnalisée,Choix spécialités fréquence format email/SMS,Pertinence,—,—,—,—,—,Compte
Intelligence Artificielle,Dialogue Lia conversationnel,IA formelle proactive choix binaires références culturelles,Expérience unique,—,✅,—,—,—,IA Exclusive
Intelligence Artificielle,Ton Concierge palace,Vouvoiement Monsieur/Madame NOM références adaptées,Luxe,—,✅,—,—,—,IA Exclusive
Intelligence Artificielle,Suggestions personnalisées lots,Sélection auto lots grille validation amélioration continue,Découverte,✅,✅,—,—,—,IA Exclusive
Intelligence Artificielle,Analyse IA des lots,Contexte historique biographie créateur observations image,Expertise enrichie,✅,✅,✅,—,—,IA Exclusive
Intelligence Artificielle,Enrichissement descriptions,Titre vendeur description enrichie dimensions formatées,Qualité catalogue,✅,✅,✅,—,—,IA Exclusive
Intelligence Artificielle,Validation alertes IA,Évaluation pertinence mots-clés suggestions alternatives,Alertes pertinentes,—,✅,—,—,—,IA Exclusive
Intelligence Artificielle,Analyse images lots,Identification auto styles périodes matériaux depuis photos,Gain de temps,✅,✅,—,—,—,IA Exclusive
Intelligence Artificielle,Questions/Réponses lot 24/7,IA répond questions clients sur un lot,Support continu,✅,✅,—,—,—,IA Exclusive
Intelligence Artificielle,Classification lots par familles,Catégorisation auto voitures sport mobilier XVIIe bijoux etc,Organisation catalogue,✅,✅,✅,—,—,IA Exclusive
Intelligence Artificielle,Navigation ventes par catégorie,Accès résultats filtrés par famille objets,Recherche efficace,✅,✅,✅,—,—,IA Exclusive
Gestion Ventes,Pages de vente détaillées,Fiche complète infos conditions expositions catalogue,Info complète,✅,—,✅,—,—,Gestion
Gestion Ventes,Sync Interenchères,Import auto ventes lots mise à jour résultats,Zéro ressaisie,✅,—,—,—,—,Gestion
Gestion Ventes,Stockage images HD,Photos téléchargées stockées localement fiabilité,Disponibilité,✅,—,—,—,—,Gestion
Gestion Ventes,Ventes live,Enchères salle avec ordres enchères tél intégrés,Participation élargie,✅,—,—,—,—,Gestion
Gestion Ventes,Ventes chrono,Enchères online temporisées compte à rebours,Flexibilité,✅,—,—,—,—,Gestion
Gestion Ventes,After-sale gestion,Invendus disponibles achat immédiat après vente,Maximiser ventes,✅,—,—,—,—,Gestion
Communication,Pages spécialités 11,Bijoux Vins Art moderne Mobilier Céramiques Militaria etc,SEO et expertise,—,—,✅,✅,✅,Marketing
Communication,Aventures d'Enchères,Histoires découvertes trouvailles œuvres redécouvertes,Storytelling,—,—,✅,✅,✅,Marketing
Communication,La Maison,Présentation histoire valeurs équipe experts,Confiance,—,—,✅,✅,✅,Marketing
Communication,Région de Talents,Artisans locaux restaurateurs encadreurs joailliers,Ancrage local,—,—,✅,✅,✅,Marketing
Communication,Page Contact,Formulaire carte plan accès horaires,Accessibilité,—,—,✅,—,✅,Marketing
Communication,Témoignages clients,Carousel avis clients preuve sociale,Confiance,—,—,—,✅,✅,Marketing
Administration CRM,Profils clients auto,Données lots mémorisés ordres enchères adjudications,Connaissance client,✅,✅,—,—,—,Admin
Administration CRM,Détection intérêts,Analyse auto spécialités préférées fourchettes budget,Ciblage,✅,✅,—,—,—,Admin
Administration CRM,Suivi bordereaux,Paiements attente montants dus statuts relances,Trésorerie,—,—,—,—,—,Admin
Administration CRM,Suivi enlèvements,Lots attente retrait RDV pris confirmations,Logistique,—,—,—,—,—,Admin
Administration CRM,Statistiques usage,Visiteurs pages vues lots consultés conversion,Pilotage,✅,—,—,—,—,Admin
Administration CRM,Multi-tenant architecture,200 sites depuis base unique feature flags branding,Scalabilité,—,—,—,—,—,Admin
Edge Functions,taste-interview,Dialogue Lia profil de goûts,IA conversationnelle,—,✅,—,—,—,Backend
Edge Functions,validate-alert-keyword,Validation pertinence mots-clés alertes,IA validation,—,✅,—,—,—,Backend
Edge Functions,enrich-lot-ai,Enrichissement description lot par IA,IA enrichissement,—,✅,—,—,—,Backend
Edge Functions,answer-lot-question,Réponse IA questions sur un lot,IA support,—,✅,—,—,—,Backend
Edge Functions,synthesize-alerts,Synthèse alertes lots correspondants,IA matching,✅,✅,—,—,—,Backend
Edge Functions,classify-lot-category,Classification IA lot par famille objets,IA classification,✅,✅,—,—,—,Backend
Edge Functions,scrape-interencheres,Import données Interenchères,Sync externe,✅,—,—,—,—,Backend
Edge Functions,hydrate-lot-images,Téléchargement stockage images HD,Gestion média,✅,—,—,—,—,Backend
